cha,dataset,embeddings_sims,eps,gpu,max_data,min_samples,model,n_clusters,score,sil,tags_sims,verbose,weights,embeddings_sims_mean,tags_sims_mean
189.36123652192808,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.01881421, 1: 0.75094247, 2: 0.063689694, 3: 0.27557635, 4: 0.27233562, 5: 0.07296589, 6: 0.1486286, 7: 0.10044635, 8: 0.0709816, 9: 0.07699185, 10: 0.11680019, 11: 0.12645902, 12: 0.27001897, 13: 0.3619105, 14: 0.03675932, 15: 0.43849024, 16: 0.18779352, 17: 0.20078202, 18: 0.2538355, 19: 0.29165035, 20: 0.6286226, 21: 0.8244405, 22: 0.5684171, 23: 0.5290898, 24: 0.83778, 25: 0.5956969, 26: 0.7771212, 27: 0.36221975, 28: 0.8084498}",0.01,1.0,500.0,2.0,"VGG16(
  (model): Sequential()
)",29.0,0.6204934827058319,0.40184653725930136,"{0: 0.0590089113455, 1: 0.8396306290080995, 2: 0.27899204243012793, 3: 0.24277186142685764, 4: 0.9907759037268081, 5: 0.13346363998907645, 6: 0.3845533283538426, 7: 0.4133359746437034, 8: 0.5094133923392976, 9: 0.8006921634082028, 10: 0.4043683720260312, 11: 0.4457502137953919, 12: 0.7086772630295757, 13: 0.5846260502712676, 14: 0.3331853698094521, 15: 0.7133060132892228, 16: 0.7167245280133667, 17: 0.764034224066209, 18: 0.59876222208799, 19: 0.8184034822192057, 20: 0.9999999999999998, 21: 0.6679155371775974, 22: 0.5291935919858424, 23: 0.7175098848142549, 24: 0.783283453846607, 25: 0.5518176005123794, 26: 0.990855732203795, 27: 0.9999999999999996, 28: 0.9126293207457659}",0.0,"(1.0, 0.0, 0.0)",0.3471624255180359,0.6170234726401886
162.5985338899409,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.01881421, 1: 0.75094247, 2: 0.063689694, 3: 0.27557635, 4: 0.27233562, 5: 0.07296589, 6: 0.1486286, 7: 0.10044635, 8: 0.0709816, 9: 0.07699185, 10: 0.11680019, 11: 0.12645902, 12: 0.27001897, 13: 0.3619105, 14: 0.03675932, 15: 0.43849024, 16: 0.18779352, 17: 0.20078202, 18: 0.2538355, 19: 0.29165035}",0.01,1.0,500.0,3.0,"VGG16(
  (model): Sequential()
)",20.0,0.6187969839763137,0.35615556498450385,"{0: 0.0590089113455, 1: 0.8396306290080995, 2: 0.27899204243012793, 3: 0.24277186142685764, 4: 0.9907759037268081, 5: 0.13346363998907645, 6: 0.3845533283538426, 7: 0.4133359746437034, 8: 0.5094133923392976, 9: 0.8006921634082028, 10: 0.4043683720260312, 11: 0.4457502137953919, 12: 0.7086772630295757, 13: 0.5846260502712676, 14: 0.3331853698094521, 15: 0.7133060132892228, 16: 0.7167245280133667, 17: 0.764034224066209, 18: 0.59876222208799, 19: 0.8184034822192057}",0.0,"(1.0, 0.0, 0.0)",0.2067936211824417,0.5370237792639615
184.79362791508788,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.01881421, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.0709816, 8: 0.07699185, 9: 0.11680019, 10: 0.12645902, 11: 0.27001897, 12: 0.03675932, 13: 0.18779352, 14: 0.20078202, 15: 0.29165035}",0.01,1.0,500.0,4.0,"VGG16(
  (model): Sequential()
)",16.0,0.6187969839763137,0.3330511994224715,"{0: 0.0590089113455, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.5094133923392976, 8: 0.8006921634082028, 9: 0.4043683720260312, 10: 0.4457502137953919, 11: 0.7086772630295757, 12: 0.3331853698094521, 13: 0.7167245280133667, 14: 0.764034224066209, 15: 0.8184034822192057}",0.0,"(1.0, 0.0, 0.0)",0.14566835761070251,0.5002594169139155
190.30578560773804,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.01881421, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.0709816, 8: 0.07699185, 9: 0.14083253, 10: 0.12645902, 11: 0.27001897, 12: 0.03675932, 13: 0.18779352, 14: 0.20078202}",0.01,1.0,500.0,5.0,"VGG16(
  (model): Sequential()
)",15.0,0.6170962698529715,0.31501402260399536,"{0: 0.0590089113455, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.5094133923392976, 8: 0.8006921634082028, 9: 0.5456948309821672, 10: 0.4457502137953919, 11: 0.7086772630295757, 12: 0.3331853698094521, 13: 0.7167245280133667, 14: 0.764034224066209}",0.0,"(1.0, 0.0, 0.0)",0.1375383734703064,0.48847157649063855
167.39986214489824,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.019324556, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.0709816, 8: 0.07699185, 9: 0.14083253, 10: 0.12645902, 11: 0.27001897, 12: 0.03675932, 13: 0.18779352}",0.01,1.0,500.0,6.0,"VGG16(
  (model): Sequential()
)",14.0,0.6119686724560973,0.29797589447224665,"{0: 0.05912093363920211, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.5094133923392976, 8: 0.8006921634082028, 9: 0.5456948309821672, 10: 0.4457502137953919, 11: 0.7086772630295757, 12: 0.3331853698094521, 13: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.13305741548538208,0.46879653182764797
144.4879363143637,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.019324556, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.0709816, 8: 0.07699185, 9: 0.14083253, 10: 0.12645902, 11: 0.03675932, 12: 0.18779352}",0.01,1.0,500.0,7.0,"VGG16(
  (model): Sequential()
)",13.0,0.6068025470276385,0.3205246574329683,"{0: 0.05912093363920211, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.5094133923392976, 8: 0.8006921634082028, 9: 0.5456948309821672, 10: 0.4457502137953919, 11: 0.3331853698094521, 12: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12252191454172134,0.45034416788903814
144.4879363143637,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.019324556, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.0709816, 8: 0.07699185, 9: 0.14083253, 10: 0.12645902, 11: 0.03675932, 12: 0.18779352}",0.01,1.0,500.0,8.0,"VGG16(
  (model): Sequential()
)",13.0,0.6068025470276385,0.3205246574329683,"{0: 0.05912093363920211, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.5094133923392976, 8: 0.8006921634082028, 9: 0.5456948309821672, 10: 0.4457502137953919, 11: 0.3331853698094521, 12: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.12252191454172134,0.45034416788903814
135.65772409338726,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.023579538, 1: 0.063689694, 2: 0.27557635, 3: 0.27233562, 4: 0.07296589, 5: 0.1486286, 6: 0.10044635, 7: 0.05748234, 8: 0.0709816, 9: 0.07699185, 10: 0.14083253, 11: 0.12645902, 12: 0.03675932, 13: 0.18779352}",0.01,1.0,500.0,9.0,"VGG16(
  (model): Sequential()
)",14.0,0.6307175974283468,0.35501532966311466,"{0: 0.06351863547245827, 1: 0.27899204243012793, 2: 0.24277186142685764, 3: 0.9907759037268081, 4: 0.13346363998907645, 5: 0.3845533283538426, 6: 0.4133359746437034, 7: 0.2800337275758658, 8: 0.5094133923392976, 9: 0.8006921634082028, 10: 0.5456948309821672, 11: 0.4457502137953919, 12: 0.3331853698094521, 13: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.11818016320466995,0.4384932579976156
311.6675467541866,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057374514, 1: 0.75094247, 2: 0.33341083, 3: 0.2912796, 4: 0.10490137, 5: 0.054629225, 6: 0.03675932, 7: 0.18779352, 8: 0.20078202, 9: 0.29165035, 10: 0.8244405, 11: 0.5290898, 12: 0.36221975, 13: 0.8084498}",0.03,1.0,500.0,2.0,"VGG16(
  (model): Sequential()
)",14.0,0.5745992601726264,0.33093117144148493,"{0: 0.012795610887787792, 1: 0.8396306290080995, 2: 0.5519259916102651, 3: 0.8276034198686187, 4: 0.41187639444215274, 5: 0.45468764841342785, 6: 0.3331853698094521, 7: 0.7167245280133667, 8: 0.764034224066209, 9: 0.8184034822192057, 10: 0.6679155371775974, 11: 0.7175098848142549, 12: 0.9999999999999996, 13: 0.9126293207457659}",0.0,"(1.0, 0.0, 0.0)",0.34157755970954895,0.6449230029340145
354.9971211296371,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057374514, 1: 0.75094247, 2: 0.2912796, 3: 0.10490137, 4: 0.054629225, 5: 0.03675932, 6: 0.18779352, 7: 0.20078202, 8: 0.29165035}",0.03,1.0,500.0,3.0,"VGG16(
  (model): Sequential()
)",9.0,0.5745992601726264,0.31540026299875923,"{0: 0.012795610887787792, 1: 0.8396306290080995, 2: 0.8276034198686187, 3: 0.41187639444215274, 4: 0.45468764841342785, 5: 0.3331853698094521, 6: 0.7167245280133667, 7: 0.764034224066209, 8: 0.8184034822192057}",0.0,"(1.0, 0.0, 0.0)",0.2138306051492691,0.5754379229698133
